@relation large.json
@attribute id integer
@attribute owner string
@attribute content string
@data
26236,'','Bug 1100846 - [v2.2] Investigate test_sms_with_attachments intermittent ...\n...failure\r\n\r\nhttp://jenkins1.qa.scl3.mozilla.com/view/UI/job/flame-kk.ui.adhoc/331/console'
26235,'','Bug 1091676 - Investigate intermittent failure in test_cost_control_rese...\n...t_wifi.py\r\n\r\nhttp://jenkins1.qa.scl3.mozilla.com/view/UI/job/flame-kk.ui.adhoc/332/console'
26233,'','Bug 1074117 - Use expected conditions and optimise element lookups in first time use app object\n'
26232,'','Bug 1074117 - Use expected conditions and optimise element lookups in fm radio app object\n'
26230,'','Bug 1074117 - Use expected conditions and optimise element lookups in emergency call app object\n'
26229,'','Bug 1074117 - Use expected conditions and optimise element lookups in email app object\n'
26227,'','Bug 1100806 - Implement a taskgraph just for +autolander\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1100806'
26226,'','Bug 1074117 - Use expected conditions and optimise element lookups in cost control app object\n'
26225,'','Bug 1092104 - Always show the first level items r=eragonj\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1092104'
26221,'','Bug 1097035 - Write a test to verify that the user can forward a sent me...\n...ssage'
26218,'','Bug 1094559 - Implement DynamicInputRegistry +shepherd\n'
26214,'','Bug 1100195 - [NFC] We should prevent shrinking while switching apps by edge gesture\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1100195'
26212,'',"Bug 1092948 - [FFOS2.0][Woodduck][Browser]Can't turn to landscape mode o...\n...n editing bookmark screen when add bookmark to Home screen\r\n\r\n* Remove incorrect orientation setting in manifest.webapp"
26208,'','Bug 1069422 - Use gaia-select for combo boxes.\n'
26207,'','Bug 1083528 - Add dev/stage Marketplaces to 1.4\n'
26206,'','Bug 1083528 - Add dev/stage Marketplaces to 2.0\n'
26205,'','Bug 1083528 - Add dev/stage Marketplaces to 2.1\n'
26203,'','Privacy Panel merge with v2.1\n'
26202,'','Bug 1098146 - Reworded the content provisioning confirmation message\n'
26199,'','Bug 1091714 - Alarm icon sits up too high in status bar\n'
26195,'','Privacy panel v2.1 apps\nThis is a pull request for the same privacy panel as in the PR #25688 but here rebased to 2.1'
26193,'','Bug 1096704 - Prevent rocketbar trigger during an edge gesture.\n'
26192,'','Bug 1094709 - [Flame][Contacts]Tap x in left of Name Input Box when edit...\n... a contact, it will not delete the name.'
26190,'','Bug 1100319 - [v2.2] Disable test_fmradio_find_stations.py due to Bug 10...\n...00863'
26188,'','Bug 1022728 - Prevent building gaia when running ./build.sh gecko\n'
26187,'','Bug 1100282 - [Stingray][System] only allow smart-settings app to handle...\n... configure activity'
26186,'','Bug 1097446 - Provide flow diagrams for input management\n'
26185,'','Bug 1093530 - [Stingray][System] let inline-activity to have transparent...\n... background'
